gene_symbol,protein_name,verdict,include_in_analysis,exclusion_category,surface_notes,internalization_notes,therapeutic_window_notes,pk_notes,safety_notes,competition_notes,physiology_notes,oncogenic_notes,isoforms_notes,toolbox_notes,monospecific_feasible,bispecific_rationale,recommended_gating,key_concerns,recommendation,last_updated,updated_by
DLL4,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
SELP,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
PTPRS,Receptor-Type Tyrosine Phosphatase Sigma,Excluded,false,Tumor Suppressor,Type I TM; large ~1000aa ECD,Limited; signals from membrane,TUMOR SUPPRESSOR; deleted 26-32% HNSCC (Priority 1); loss activates EGFR,ADAM shedding,CNS synaptic function; developmental defects in KO,No ADC programs,,,,,No,N/A,N/A,Tumor suppressor deleted in HNSCC (Priority 1),EXCLUDED: Tumor suppressor in priority indication,2026-02-04T16:04:06.711927,R7 batch (Claude+Gemini combined)
CD22,,Excluded,false,B-cell,,,,,B-cell receptor signaling,,,,,,No,,N/A,B-cell receptor signaling,Excluded: B-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
HLA-DQB1,,Excluded,false,Antigen-presenting,,,,,MHC class II HLA-DQ beta - APC depletion; loss of CD4 help,,,,,,No,,N/A,MHC class II HLA-DQ beta - APC depletion; loss of CD4 help,Excluded: Antigen-presenting,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
AQP1,,Excluded,false,Endothelial Marker,,,,,Surface marker from scRNA-seq (Endothelial),,,,,,No,,N/A,Surface marker from scRNA-seq (Endothelial),Excluded: Endothelial Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
LAMP1,Lysosomal-associated Membrane Protein 1 (CD107a),Conditional,,"","Type I single-pass TM. In NORMAL cells: >98% intracellular on lysosomal membrane (only 1-2% at plasma membrane). In CANCER cells: increased lysosomal exocytosis translocates LAMP1 to cell surface—creates ""tumor-exclusive"" surface epitope. Surface expression correlates with metastatic potential in melanoma, breast, lung, ovarian. Sources: Sanofi/ImmunoGen data; Nature Communications 2025; Human Protein Atlas",EXCELLENT validated internalization. SAR428926 demonstrated rapid cycling with internalization 10-fold HIGHER than surface copy number—receptor recycling amplifies payload delivery. YXXΦ motif mediates lysosomal targeting. Sub-nM cytotoxicity achieved in preclinical. Sources: Creative Biolabs; Wiley Traffic (Cook 2004),"Ubiquitous INTRACELLULAR expression but COMPARTMENTAL SELECTIVITY (surface vs lysosomal) provides targeting rationale. LAMP1 among top 5 ADC targets by RNA expression in breast cancer metastases. The ""reverse topology"" (intracellular in normal, surface in cancer) is unique advantage. Sources: Human Protein Atlas; Nature Communications 2025","Expression on activated platelets, lymphocytes, macrophages (CD107a is degranulation marker). This immune cell expression likely contributed to SAR428926 failure. Sources: Wikipedia; Human Protein Atlas",Not associated with human genetic disease. LAMP1-deficient mice show minimal phenotype (LAMP2 compensates). Not pan-essential in DepMap. Sources: OMIM 153330,SAR428926 (Sanofi/ImmunoGen) DISCONTINUED ~2017 after Phase I/II (NCT02575781). ~110 patients enrolled. Reasons not disclosed but likely immune cell toxicity or insufficient therapeutic window. Preclinical showed complete regressions in PDX models. Sources: Fierce Biotech; ADC Review; PMC10464553,,,,,Marginal,"Prior monospecific FAILED. LAMP1 serves best as secondary ""lysosomal anchor"" in bispecific format. Strategy: Bind surface marker first; upon internalization, LAMP1 arm binds LAMP1 in late endosome/lysosome ensuring complex is RETAINED and degraded rather than recycled back to surface (as happens with HER2, TfR). AND-gate required to overcome SAR428926 limitations.",AND-gate,"Prior Phase I/II program discontinued; immune cell expression (platelets, lymphocytes); ubiquitous intracellular expression","CONDITIONAL - Tier 2 ""Lysosomal Anchor"". Excellent trafficking biology but monospecific approach FAILED (SAR428926). Bispecific AND-gate with tumor-restricted antigen could overcome limitations. Use as secondary arm for lysosomal retention.",2026-02-03T21:18:31.273696,P1 batch update (Claude + Gemini consensus)
ACKR3,Atypical Chemokine Receptor 3 (CXCR7),Conditional,,"","Validated 7TM GPCR with confirmed membrane localization. Overexpressed in >30% breast cancers, highest in lung SCC, esophageal SCC, glioblastoma, HNSCC, cervical SCC, prostate. RED FLAG: Small extracellular loops limit antibody epitopes—7TM topology challenging. Sources: Human Protein Atlas; Nimmagadda J Nucl Med 2016","VERY HIGH constitutive internalization via β-arrestin recruitment (not G-protein mediated). Classified as ""scavenger receptor"" that continuously cycles between plasma membrane and lysosome to clear chemokines CXCL11/CXCL12. One of the fastest constitutive internalization rates of any surface receptor. Acts as efficient ""pump"" for ADC payload delivery. Sources: Hoffmann JBC 2012; Nature Commun 2020",Low expression in normal tissues; upregulated with malignant transformation. Some brain expression. Favorable but not exceptional differential. Sources: Human Protein Atlas; TCGA; Berahovich J Immunol 2010,"No shedding. Not expressed on mature circulating leukocytes. BUT: expressed on vascular ENDOTHELIUM—creates significant ""sink"" effect. Monospecific ACKR3 ADC would suffer poor PK due to endothelial clearance. Sources: Berahovich J Immunol 2010; Human Protein Atlas",Knockout mice show early postnatal lethality and cardiovascular defects. Expression in brain regions. Developmental role is concern. Sources: Genesis 2008; PNAS 2007,No approved programs. Academic imaging studies only. HER2 x ACKR3 bispecific demonstrated ACKR3 drove HER2 degradation (Mol Cancer Ther). Sources: ClinicalTrials.gov; Mol Cancer Ther,,,,,Marginal,"IDEAL as ""SHUTTLE"" arm in bispecifics. Endothelial sink prevents monospecific use. Pairing: ACKR3 x Tumor Antigen (e.g., CADM4, FZD6, Mesothelin). The ACKR3 arm triggers rapid internalization of entire complex once tethered to tumor by second arm—bypasses slow internalization of partner targets. Validated in HER2 x ACKR3.",AND-gate,7TM GPCR topology with small ECD loops; developmental lethality; brain expression; endothelial sink requires bispecific format,"CONDITIONAL - Tier 2 ""Internalization Shuttle"". Exceptional constitutive cycling makes it ideal ""engine"" to force degradation of poorly-internalizing tumor antigens. Must use as low-affinity secondary arm, NOT primary target.",2026-02-03T21:18:31.273677,P1 batch update (Claude + Gemini consensus)
HSP90AA1,Heat Shock Protein 90 Alpha Family Class A Member 1 (Hsp90α),Excluded,false,Poor Topology,"PRIMARILY CYTOPLASMIC (soluble chaperone protein)—NOT transmembrane. CAN be found on tumor cell surface (mHsp90) and extracellularly (eHsp90) in aggressive/metastatic tumors, anchored via heparan sulfate proteoglycans, NOT transmembrane domains. Non-canonical, stress-induced surface localization. Unconventional ADC target. Sources: Frontiers Mol Biosci 2022; Snigireva Biophysics 2016","LIMITED/UNCERTAIN. No robust evidence surface HSP90 undergoes receptor-mediated endocytosis to lysosomes. Signals via interaction with receptors (LRP1, HER2, TLR4) but protein itself may not efficiently internalize. ADC requires lysosomal delivery—NOT demonstrated for surface HSP90. Sources: Eustace Nat Cell Biol 2004","POOR—ubiquitous cytoplasmic expression. Fundamental molecular chaperone in virtually all tissues. Upregulated in some cancers with elevated serum levels, but intracellular pool VASTLY exceeds surface/secreted forms (>95% cytosolic). Surface expression also on activated T cells and endothelial cells under stress. Sources: Human Protein Atlas; PMC reviews",MAJOR CONCERN—secreted form creates massive soluble decoy sink. HSP90α actively secreted (eHSP90) by tumor cells under hypoxia. Surface HSP90 on activated immune cells = potential immunosuppression. Any cell lysis releases massive intracellular pool. Sources: Multiple eHSP90 reviews,"HSP90AA1 single KO not essential (HSP90AB1 compensates). Small molecule HSP90 inhibitors tested clinically with significant toxicities: diarrhea, fatigue, hepatotoxicity, OCULAR toxicity. Sources: Multiple clinical trials","No ADC programs. HSP90 SMALL MOLECULE inhibitors have extensive clinical history (tanespimycin, ganetespib, NVP-AUY922)—most discontinued or failed Phase 2/3. HSP90 inhibitors remain largely unsuccessful despite decades of development. Sources: Multiple clinical trial publications",,,,,No,N/A—fundamentally unsuitable.,N/A,NOT a transmembrane protein (unconventional); NO validated lysosomal trafficking; secreted form = massive soluble sink; >95% cytosolic pool; surface expression on activated immune cells; HSP90 inhibitors have largely failed clinically,"EXCLUDED - Both models agree. Not canonical TM receptor, no efficient internalization, massive secreted sink, immune cell expression. HSP90 small molecule inhibitors failed—ADC would likely fare worse.",2026-02-03T21:23:51.864571,P2 batch import (Claude + Gemini consensus: Excluded)
ECSCR,,Excluded,false,Endothelial Marker,,,,,Surface marker from scRNA-seq (Endothelial),,,,,,No,,N/A,Surface marker from scRNA-seq (Endothelial),Excluded: Endothelial Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
KLRC2,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
IL21R,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CDH2,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
PIEZO1,Piezo-type Mechanosensitive Ion Channel 1,Excluded,false,Multi-pass Topology / RBC Expression,38-TM helices per monomer. Nine 4-TM units. Small EC loops. ~2500 aa total.,NO DATA in ADC context.,"MODERATE TUMOR but CRITICAL NORMAL: Upregulated in breast, gastric, glioma. CRITICALLY ON RBCs.",CATASTROPHIC: CRITICALLY ON RBCs - massive sink + hemolytic toxicity. On macrophages/immune.,Associated with Hereditary Xerocytosis (hemolytic anemia). Sources: OMIM 194380,No ADC programs - topology and RBC expression.,,,,,No,Extreme multi-pass + RBC expression cannot be overcome,N/A,38-TM extreme multi-pass; CRITICAL RBC EXPRESSION = massive sink + hemolytic toxicity,EXCLUDED: FUNDAMENTALLY INCOMPATIBLE - 38-TM topology + critical RBC expression.,2026-02-03T22:03:20.780825,P4 batch (Claude+Gemini combined)
CD96,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
TNF,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
MYADM,,Excluded,false,Endothelial Marker,,,,,"Surface marker from scRNA-seq (Endothelial, Fibroblast)",,,,,,No,,N/A,"Surface marker from scRNA-seq (Endothelial, Fibroblast)",Excluded: Endothelial Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
CD209,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
SEMA4C,Semaphorin 4C,Conditional,true,"",Type I TM; large sema domain,Inferred from SEMA4A (5E3-vedotin POC),Cervical/breast/CRC overexpression; broad normal tissue expression,MMP-mediated shedding; soluble SEMA4C detected,Brain/synaptic expression; NOT tumor suppressor,SEMA4A CAR-T Phase I; less crowded space,,,,,Marginal,AND-gate for window; Probody approach for shedding,AND-gate,Shedding sink; broad normal expression; brain,CONDITIONAL: Validate internalization; Probody approach,2026-02-04T16:04:06.711927,R7 batch (Claude+Gemini combined)
IGSF6,,Excluded,false,Immune Marker,,,,,Surface marker from scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
CD28,,Excluded,false,T-cell,,,,,T-cell co-stimulator - lymphocyte marker,,,,,,No,,N/A,T-cell co-stimulator - lymphocyte marker,Excluded: T-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString)
CD4,,Excluded,false,T-cell,,,,,T helper cell marker - immune infiltrate,,,,,,No,,N/A,T helper cell marker - immune infiltrate,Excluded: T-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString; scRNAseq)
PCDH7,Protocadherin 7 / BH-Protocadherin,Excluded,false,Tumor Suppressor,Type I TM with 7 cadherin repeats (~700 aa). Sources: OMIM 602988,No data. Protocadherins typically stable at membrane.,"TUMOR SUPPRESSOR - down-regulated in bladder, cervical, breast. High brain/heart.",Cadherins not highly shed. No blood cell expression.,Mutations cause epilepsy. Tumor suppressor is RED FLAG.,No programs.,,,,,No,Not applicable - tumor suppressor,N/A,Tumor suppressor; high brain/heart; no internalization data,EXCLUDED: Tumor suppressor biology creates inverse window.,2026-02-03T21:52:49.930426,P3 batch (Claude+Gemini combined)
VCAM1,Vascular Cell Adhesion Molecule 1 (CD106),Conditional,true,"",Type I TM; 6-7 Ig-like domains,Clathrin-mediated; t1/2 11-14 min,ENDOTHELIAL target (not tumor cells); vascular disruption opportunity for mesothelioma,High ADAM17 shedding; sVCAM1 sink,Vascular toxicity risk from endothelial targeting,No ADC programs,,,,,No,AND-gate with Mesothelin for mesothelioma,AND-gate,Endothelial not tumor; shedding; vascular toxicity,CONDITIONAL: Vascular disruption niche for mesothelioma,2026-02-04T16:04:06.711927,R6 batch (Claude+Gemini combined)
KLRG1,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
SLC44A1,"Choline transporter-like protein 1 (CTL1, CD92)",Excluded,false,Multi-pass topology / Neurotoxicity,9-TM transporter with short extracellular loops; ~13 aa C-terminal epitope confirmed extracellular; also localized to mitochondrial outer membrane,No direct ADC internalization data; multi-pass transporter unlikely to undergo robust clathrin-mediated endocytosis,"POOR - membranous and cytoplasmic expression in most tissues; tissue-enhanced in brain (oligodendrocytes, myelination); essential for choline transport in all proliferating cells",No ectodomain shedding expected; internal pool on mitochondrial outer membrane,"CRITICAL - CONATOC (Childhood-onset Neurodegeneration with Ataxia, Tremor, Optic atrophy, Cognitive decline) from LoF mutations; neonatal cholestasis/liver failure from novel variants",No ADC programs targeting SLC44A1; note SLC44A4 (different gene) is validated ADC target (ASG-5ME),,,,,No,Not applicable - topology and safety concerns preclude development,N/A,9-TM topology with small EC loops; severe neurodegeneration (CONATOC) from LoF; high brain expression creates CNS toxicity risk,Do not advance - multi-pass topology + severe neurodegeneration from LoF makes this unsuitable; consider SLC44A4 as alternative,2026-02-03T22:14:35.468213,R1 Batch Processing (Claude+Gemini)
THBS1,,Excluded,false,Stromal Marker,,,,,Surface marker from scRNA-seq (Fibroblast),,,,,,No,,N/A,Surface marker from scRNA-seq (Fibroblast),Excluded: Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
LRRC8A,Volume-regulated anion channel subunit LRRC8A (SWELL1),Excluded,false,Multi-pass topology,4-TM channel with only 2 small extracellular loops: EL1 (~70 aa) and EL2 (~27 aa); majority of protein is cytoplasmic LRR domain; forms hexameric assemblies,No ADC-relevant data; channel protein for volume regulation - no evidence of constitutive or ligand-induced internalization,POOR - ubiquitous expression; essential VRAC component in virtually all cells; HIGH on B and T lymphocytes,HIGH B/T lymphocyte expression creates major peripheral sink; multi-pass topology means no significant shedding,"LRRC8A truncation mutations cause Agammaglobulinemia-5 (congenital absence of B cells); KO mice show increased mortality, growth retardation, T-cell developmental block",No ADC programs targeting LRRC8A,,,,,No,Not applicable - topology fundamentally precludes antibody targeting; extracellular loops too small for therapeutic antibody development,N/A,"4-TM topology with tiny EC loops (~70, ~27 aa) fundamentally unsuitable; high B/T lymphocyte sink; LoF causes immunodeficiency",Do not advance - multi-pass topology with very small EC loops makes LRRC8A fundamentally unsuitable for ADC,2026-02-03T22:14:35.468207,R1 Batch Processing (Claude+Gemini)
LCP1,,Excluded,false,Immune Marker,,,,,"Surface marker from scRNA-seq (Myeloid, T cell)",,,,,,No,,N/A,"Surface marker from scRNA-seq (Myeloid, T cell)",Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
KLRC1,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
DPP4,Dipeptidyl Peptidase-4 (CD26),Conditional,true,"","Type II TM glycoprotein (110 kDa); short 6 aa cytoplasmic tail, 22 aa TM, 738 aa ECD with serine protease; forms homodimers; crystallographically characterized",STRONG POC: Y-TR1 ADC (YS110-triptolide) showed cytotoxicity against CD26+ mesothelioma/leukemia; YS110 Phase I completed (NCT03177668); UNIQUE intra-nuclear transportation,"POOR: Overexpressed in mesothelioma, RCC, CRC, HCC; BUT widely expressed kidney, small intestine, liver, endothelium; LIMITED Priority 1 coverage beyond mesothelioma","CRITICAL: >90% serum DPP4 activity from soluble sCD26 = massive decoy sink; CD26hi T cell expression = immune sink + toxicity; memory CD4+ T cells, NK cells, activated B cells",CRITICAL: CD26hi T cells have potent ANTI-TUMOR properties; ADC would deplete beneficial immune effectors; gliptins (DPP4 inhibitors) safe for diabetes = not essential,Y-TR1 (YS110-triptolide) preclinical/early development; YS110 Phase I completed; Multiple FDA-approved DPP4 inhibitors for diabetes (different MOA),,,,,No,"ESSENTIAL: Bispecific approach required to restrict cytotoxic activity to tumor cells co-expressing both antigens, sparing CD26+ T cells and NK cells",AND-gate (required),T CELL EXPRESSION is dealbreaker for monospecific cytotoxic ADC; high sCD26 sink; ubiquitous tissue expression; would deplete anti-tumor immune cells,CONDITIONAL: Only pursue in mesothelioma-specific bispecific format with tumor-restricted second antigen to avoid T cell depletion. Monospecific ADC is counterproductive.,2026-02-03T22:48:39.346929,S1 batch (Claude+Gemini combined)
CD74,,Excluded,false,B-cell,,,,,HLA-DR invariant chain; highly expressed on B-cell malignancies and normal B-cells,,,,,,No,,N/A,HLA-DR invariant chain; highly expressed on B-cell malignancies and normal B-cells,Excluded: B-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
EPHB3,Ephrin Type-B Receptor 3,Conditional,true,"",Type I TM RTK,Eph family internalizes,TUMOR SUPPRESSOR; silenced at adenoma-carcinoma transition; lost in aggressive tumors,Eph shedding by ADAMs,Expression lost in treatment-requiring disease,No ADC programs,,,,,No,N/A,N/A,Context-dependent tumor suppressor; silenced in late disease,EXCLUDED: Expression lost where therapy needed,2026-02-04T16:06:06.059987,Disputed: Claude (Excluded) vs Gemini (Conditional) - using positive verdict
CD58,LFA-3 (CD58 Antigen),Excluded,false,Hematological,Type I TM,Internalizes,RBC expression; immune ablation via CD2-CD58,RBC sink,RBC expression; immune ablation,No ADC programs,,,,,No,N/A,N/A,RBC expression; immune ablation,EXCLUDED: RBC expression,2026-02-04T16:04:06.711927,R4 batch (Claude+Gemini combined)
CXCL16,,Excluded,false,Immune Marker,,,,,Surface marker from scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
PSEN1,Presenilin-1,Excluded,false,Intracellular (ER/Golgi),9-pass TM forming catalytic core of gamma-secretase; PRIMARILY ER/GOLGI LOCALIZED not plasma membrane; extracellular/lumenal loops extremely small,N/A - Protein resides in intracellular membranes; NOT accessible for antibody-mediated internalization from cell surface,"Ubiquitous; high in brain (critical for Notch signaling), liver; some cancer overexpression but intracellular localization precludes targeting",Not shed (intracellular membrane protein); exists as auto-cleaved heterodimer,"CRITICAL: >300 mutations cause FAMILIAL EARLY-ONSET ALZHEIMERS DISEASE (OMIM 607822); essential for embryonic development (KO lethal, Notch phenotype); gamma-secretase inhibitors FAILED clinically (semagacestat, avagacestat) due to Notch toxicity",No ADC programs; gamma-secretase inhibitors failed in Alzheimers trials due to mechanism-based toxicity,,,,,No,N/A - Not plasma membrane localized; inaccessible to any antibody approach,N/A,NOT plasma membrane localized (ER/Golgi resident); >300 Alzheimers mutations; gamma-secretase inhibitor clinical failures; Notch toxicity,EXCLUDED: ER/Golgi localization = not accessible at plasma membrane. Multi-pass with tiny loops. Gamma-secretase clinical failures demonstrate mechanism-based toxicity.,2026-02-03T22:32:49.015248,R3 batch (Claude+Gemini combined)
INSR,,Excluded,false,Endothelial Marker,,,,,Surface marker from scRNA-seq (Endothelial),,,,,,No,,N/A,Surface marker from scRNA-seq (Endothelial),Excluded: Endothelial Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
NCR3,,Excluded,false,NK-cell,,,,,NKp30 - NK cell activating receptor; impairs innate killing,,,,,,No,,N/A,NKp30 - NK cell activating receptor; impairs innate killing,Excluded: NK-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
VTCN1,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CLEC10A,,Excluded,false,Dendritic,,,,,CD301 - C-type lectin; MCP-counter dendritic cell marker,,,,,,No,,N/A,CD301 - C-type lectin; MCP-counter dendritic cell marker,Excluded: Dendritic,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
ICAM5,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
TLR4,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
HEG1,Heart Development Protein with EGF-like Domains 1,Recommended,true,"",Large (~400 kDa) Type I TM mucin-like protein. Sialylated form on apical membrane of mesothelioma. SKM9-2 confirms strong membranous in 92-96% epithelioid MM. Sources: Sci Rep 2017,CRITICAL GAP: No ADC-specific data. CAR-T (SKM-BBz) shows in vivo activity confirming accessibility. Requires validation.,"EXCEPTIONAL: 99% specificity, 92% sensitivity for mesothelioma. DOES NOT REACT WITH NORMAL TISSUES. Sources: Am J Surg Pathol 2020","No shedding. NOT on RBCs, platelets, immune cells. Ideal PK expected.",Involved in CV development but sialylated glycoform is tumor-specific. NOT a tumor suppressor.,NO ADC trials. CAR-T: SKM-BBz (Kouro 2024). FIRST-MOVER OPPORTUNITY.,,,,,Yes,May NOT require bispecific due to tumor-specific glycoform - unprecedented for solid tumor ADC.,Either,No internalization data (critical gap); narrow indication (mesothelioma); glycan-dependent epitope,RECOMMENDED - TOP PRIORITY: Exceptional 99% specificity with no normal tissue reactivity. First-mover opportunity.,2026-02-03T21:52:49.930406,P3 batch (Claude+Gemini combined)
MXRA8,,Excluded,false,Stromal Marker,,,,,Surface marker from scRNA-seq (Fibroblast),,,,,,No,,N/A,Surface marker from scRNA-seq (Fibroblast),Excluded: Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
IL6ST,Interleukin-6 Signal Transducer / gp130,Excluded,false,Essential Gene / Ubiquitous,Type I TM with large ECD (~600 aa). Favorable topology.,EXCELLENT: Constitutive clathrin-mediated endocytosis. LAMP-2 colocalization.,"CRITICALLY UNFAVORABLE: UBIQUITOUSLY expressed. High in liver, heart, brain. NO tumor selectivity.","Soluble gp130 ~400 ng/mL in serum. Blood cell sink (T/B cells, monocytes).",ESSENTIAL GENE: KO embryonic lethal. Human LOF = Hyper-IgE Syndrome. Sources: OMIM 600694,No ADC programs. sgp130Fc for trans-signaling (not ADC).,,,,,No,Even AND-gating cannot rescue ubiquitous essential expression,N/A,UBIQUITOUS; ESSENTIAL GENE (embryonic lethal); cardiac/neural; ~400 ng/mL soluble decoy,EXCLUDED: No tumor selectivity + essential gene + cardiac/neural = unsuitable.,2026-02-03T22:03:20.780800,P4 batch (Claude+Gemini combined)
TREM1,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
IL13RA2,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
SLAMF6,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
IL2RB,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CNTFR,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
SEMA4B,Semaphorin 4B,Excluded,false,Tumor Suppressor,"Type I TM with large extracellular Sema domain (~500aa), Ig-like C2, and PSI domain. HPA shows predominantly cytoplasmic expression with limited membrane staining - concern for ADC accessibility. Sources: UniProt Q9NPR2; Human Protein Atlas",No published SEMA4B antibody internalization studies. Paralogs SEMA4A (~50% in 2h) and SEMA4D show internalization but extrapolation unreliable. Sources: Blood 2022; mAbs 2015,CRITICAL RED FLAG: Tumor suppressor function. Knockdown INCREASES growth in NSCLC. circSEMA4B downregulated in breast cancer. Hypoxia downregulates SEMA4B reducing target in tumor cores. Expression LOST in aggressive disease. Sources: BMC Cancer 2022; Tumour Biol 2014,Class 4 semaphorins can shed (SEMA4D 3.3-8.1 ng/mL serum). Limited SEMA4B-specific data.,"No OMIM diseases. Sema4b KO mice viable. However, tumor suppressor function means targeting could promote aggressive disease. Sources: OMIM 617029",No ADC programs. SEMA4D has pepinemab (Phase 2). SEMA4A preclinical ADC in myeloma.,,,,,No,Not applicable - tumor suppressor biology fundamentally unsuitable for ADC,N/A,Tumor suppressor function (knockdown increases growth); hypoxia downregulates in tumors; no internalization data; cytoplasmic IHC staining,EXCLUDED: Tumor suppressor biology creates inverse therapeutic window - target lost in aggressive cancers.,2026-02-03T21:52:49.930379,P3 batch (Claude+Gemini combined)
SLC1A4,Neutral amino acid transporter A (ASCT1),Excluded,false,Multi-pass topology / Essential gene,Multi-pass transporter (8-TM predicted) in DAACS family with small extracellular loops typical of SLC transporters; cytoplasmic and membranous pattern,DATA GAP - no ADC studies or antibody internalization data; transporters typically don't undergo robust clathrin-mediated endocytosis,MODERATE CONCERN - general cytoplasmic expression; HIGH in brain (neurons) for L-serine/D-serine transport essential for NMDA neurotransmission; elevated in HCC/tumors,No ectodomain shedding (no ECD to shed); low blood cell expression; copy number unknown,"CRITICAL - SPATCCM (Spastic Tetraplegia, Thin Corpus Callosum, Progressive Microcephaly) from LoF - severe intellectual disability, inability to walk/speak; critical for brain development",No ADC programs; related SLC1A5 (ASCT2) explored but no approved ADCs,,,,,No,Not applicable - topology and safety concerns preclude development,N/A,Multi-pass topology with small EC loops; ESSENTIAL GENE - LoF causes severe neurodevelopmental disorder (SPATCCM); high brain expression creates major CNS toxicity risk,Do not advance - multi-pass topology + critical essentiality with severe disease from LoF makes this unsuitable,2026-02-03T22:14:35.468220,R1 Batch Processing (Claude+Gemini)
